abaratamiento,14.36
abaratar,20.52
abonado,20.52
abordar él,8.21
abrazadera,12.31
abreviatura,36.93
abstracción,51.3
abstracta,14.36
abstracto,75.92
acabado,41.04
acarreo,14.36
acceder,556.07
accelerated,16.42
acceleration,16.42
accelerator,18.47
accesibilidad,36.93
accesibl,77.97
accesible,75.92
acceso,1128.56
accesorio,291.37
accesorios,125.17
access,94.39
accionado,20.52
accionamiento,16.42
accionar,49.25
aceleración,90.29
acelerado,45.14
acelerador,6.16
aceleradora,12.31
acelerar,155.95
acelerar él,8.21
acelerómetro,57.45
aceptable,61.56
acer,24.62
acierto,24.62
acomodar,41.04
acoplado,59.51
acoplamiento,65.66
acoplar,32.83
acorn,30.78
acotar,14.36
acrílico,8.21
acrónimo,18.47
activación,55.4
activada,6.16
activado,59.51
activar,207.25
activar él,10.26
active,30.78
actuador,36.93
actualizable,16.42
actualización,12.31
actualizada,12.31
actualizar,311.89
actualizar él,26.68
acumulador,20.52
adaptable,10.26
adaptador,45.14
adaptadoro,6.16
adaptar él,75.92
adaptation,10.26
adaptativa,6.16
adaptativo,59.51
adapter,36.93
adaptive,12.31
added,6.16
address,24.62
adecuado,320.1
adecuar,38.99
adhesiva,6.16
adhesivo,18.47
adicional,634.05
adición,106.7
aditivo,10.26
adivinar,16.42
administrador,14.36
admite,26.68
admitido,14.36
admitir,426.8
adobe,28.73
adreno,20.52
adsl,63.61
advance,149.79
advanced,112.86
advantage,14.36
advenimiento,26.68
afectivo,24.62
ageia,26.68
agregación,18.47
agregar,246.23
agregar él,18.47
agrupamiento,41.04
aguja,127.22
agujereado,6.16
ahorrar,114.91
ahorro,71.82
aiff,6.16
aimed,6.16
airpods,110.8
airport,28.73
aislante,10.26
ajedrez,123.12
ajustabl,8.21
ajustable,20.52
ajustar,240.08
ajustar él,32.83
ajuste,8.21
alambre,43.09
alcanzable,8.21
aleatoriedad,26.68
aleatorio,389.87
aleatorización,6.16
alexa,73.87
alexnet,6.16
alfa,14.36
alfanumérica,10.26
alfanumérico,28.73
alfo,12.31
alfombrilla,8.21
algorithm,38.99
algorithms,55.4
algoritmo,51.3
algoritmos,80.03
algorítmico,49.25
aliasing,8.21
alimentación,437.06
alimentado,71.82
alimentador,14.36
alineado,51.3
alineamiento,86.18
allendale,38.99
allwinner,36.93
almacenado,240.08
almacenaje,26.68
almacenamiento,217.51
almacenar,779.74
almacenar él,18.47
almacenir,10.26
almohadilla,43.09
alpha,338.57
alphabet,16.42
alphafold,12.31
alphago,45.14
alphazero,10.26
altair,18.47
altavoces,16.42
altavoz,6.16
altera,8.21
alternativa,155.95
alternativamente,14.36
altivec,20.52
alto,2532.09
aluminio,168.26
alus,26.68
amazon,84.13
ambigüedad,61.56
ambition,8.21
amiga,190.83
amigable,43.09
amigaone,10.26
amigaos,24.62
aminoácido,67.71
amoled,10.26
amorfo,20.52
ampliabl,6.16
ampliable,18.47
amplicón,6.16
amplificación,30.78
amplificado,10.26
amplificador,43.09
amplificar,36.93
amstrad,43.09
analizado,16.42
analizador,22.57
analizar,307.79
analizar él,20.52
analog,43.09
analogía,38.99
analysis,49.25
analytics,10.26
analítica,18.47
analítico,61.56
analógica,98.49
analógico,14.36
anandtech,36.93
ancho,30.78
android,139.53
angular,14.36
animoji,6.16
annealing,10.26
announces,6.16
anodizado,14.36
ansi,43.09
antecesor,61.56
antemano,16.42
antena,178.52
anterior,537.61
anthropic,12.31
antialiasing,14.36
antibiótico,34.88
antic,30.78
anticopia,8.21
anticopio,10.26
antimonio,10.26
antipiraterío,6.16
antiviru,6.16
anunciado,90.29
análisis,857.71
análogo,77.97
apagado,86.18
apagar,110.8
apagar él,12.31
aparato,215.45
apilada,8.21
apilado,22.57
apilar,16.42
apis,14.36
aplicabilidad,16.42
aplicable,61.56
aplicaciones,45.14
aplicación,2778.32
aplicado,180.57
aplicar,732.54
aplicar él,61.56
apple,4003.32
appleii,43.09
application,38.99
applications,28.73
applied,14.36
approach,18.47
aprender,369.35
aprendido,43.09
aprendizaje,1795.44
apretar,20.52
apropiado,123.12
aproximación,215.45
aptitud,88.23
apuntador,6.16
apuntadores,20.52
apuntar,170.31
arabidopsis,6.16
arañazo,16.42
arbitrario,94.39
arcad,8.21
arcade,38.99
arch,14.36
architecture,133.38
architectures,10.26
archivo,1073.16
arduino,55.4
arithmetic,6.16
aritmética,32.83
aritmético,59.51
arkanoid,36.93
arnm,41.04
arns,14.36
arpanet,10.26
arquitectura,1785.18
arquitecturas,10.26
arrancar,104.65
arrandale,28.73
arranque,231.87
array,30.78
arrays,6.16
artificial,141.58
ascii,86.18
asequibilidad,8.21
asequible,18.47
asic,45.14
asignación,82.08
asignar él,16.42
asimétrico,24.62
asincrónico,12.31
asintótico,16.42
asistido,96.44
asociativo,34.88
asrock,12.31
assembler,6.16
assessment,10.26
associates,20.52
asteroids,6.16
asus,45.14
asynchronous,14.36
asíncrono,8.21
asíncrón,18.47
atacante,71.82
atajo,24.62
ataques,10.26
atari,342.67
atascado,10.26
atascar,8.21
atenuación,24.62
atenuar,14.36
athlon,229.82
atmel,41.04
atom,112.86
attached,20.52
attachment,10.26
audibl,16.42
audible,24.62
audigy,8.21
audio,172.36
audiovisual,98.49
auditivo,32.83
audífono,10.26
aumentado,92.34
aumentar,796.15
auricular,6.16
auriculares,14.36
autenticación,53.35
autenticar,6.16
autoaprendizaje,14.36
autocad,18.47
autoedición,16.42
autofoco,10.26
automated,8.21
automatic,12.31
automation,8.21
automatización,16.42
automatizada,16.42
automatizado,116.96
automatizar,65.66
automática,8.21
automático,18.47
autonomous,20.52
autoorganización,6.16
autosupervisado,28.73
autómata,8.21
autómatas,10.26
autónomo,361.14
available,8.21
avalancho,6.16
avance,295.48
avanzado,297.53
avatar,28.73
aviónica,10.26
azar,61.56
azul,98.49
azure,18.47
añadir,486.31
añadir él,22.57
backup,6.16
bacteriana,12.31
bacteriano,14.36
banana,63.61
bandai,32.83
bandeja,45.14
barato,221.61
barra,277.01
barrel,10.26
barrido,30.78
basado,2489
basar,609.42
basar él,121.06
base,28.73
based,30.78
basic,112.86
batería,537.61
battletoads,6.16
baudio,6.16
bayes,26.68
bayesiana,12.31
bayesiano,16.42
bayesián,22.57
beagleboard,30.78
beige,22.57
belkin,6.16
benchmark,6.16
benchmarking,6.16
beneficiar él,16.42
beneficioso,30.78
bernoulli,14.36
beta,45.14
betamax,8.21
bibliography,14.36
bidimensional,38.99
bidireccional,82.08
biestable,12.31
bifurcación,22.57
billón,38.99
binario,6.16
binary,10.26
bioconductor,8.21
biofísica,8.21
biofísico,8.21
bioinformática,20.52
bioinformático,43.09
biology,47.19
biología,77.97
biológico,297.53
biomaterial,6.16
biomolécula,14.36
biomédico,61.56
biométrico,18.47
bionic,121.06
bioquímica,12.31
bioquímico,28.73
bios,262.65
biosíntesis,12.31
bisagra,14.36
bisel,14.36
bitcoin,24.62
bitmap,6.16
bitrate,10.26
bits,75.92
blackberry,12.31
blast,24.62
blaster,34.88
blob,8.21
bloomberg,14.36
bloomfield,10.26
bloq,10.26
bloque,510.93
bloqueado,28.73
bloquear,92.34
bluetooth,8.21
bluray,8.21
board,45.14
bobina,94.39
boltzmann,18.47
bolígrafo,45.14
bomberman,45.14
booleano,10.26
boost,36.93
boot,6.16
bootstrap,38.99
borrabl,8.21
borrado,49.25
borrador,59.51
borrar,149.79
borrar él,8.21
borroso,16.42
bostrom,24.62
boton,6.16
botones,14.36
botón,20.52
braille,18.47
brawl,14.36
breakout,16.42
bridge,155.95
brillo,172.36
broadband,6.16
broadcom,22.57
broadwell,30.78
bros,108.75
brouter,10.26
bruto,59.51
brújula,16.42
bucle,71.82
buffer,20.52
builder,8.21
bulldozer,45.14
burner,6.16
buscador,34.88
busicom,12.31
bypass,6.16
byte,160.05
básico,476.05
búfer,186.73
búsqueda,28.73
cabezal,6.16
cable,6.16
cableado,28.73
cables,8.21
cache,20.52
cacheado,12.31
caché,49.25
caddy,6.16
cadence,10.26
caenorhabditis,8.21
caja,350.88
cajero,16.42
calculado,24.62
calculadora,116.96
calcular,301.63
calcular él,12.31
calentar,55.4
calentar él,10.26
calibración,51.3
calibrado,14.36
calibrar,24.62
calidad,1001.34
caliente,16.42
calor,207.25
camera,47.19
canalización,18.47
cancerígeno,12.31
candidato,8.21
canon,32.83
cantidad,1001.34
capa,49.25
capacidad,43.09
capacitancia,49.25
capacitivo,47.19
capacitor,12.31
capas,6.16
capaz,1062.9
captación,53.35
captar,100.54
captura,10.26
capturadora,8.21
caracter,586.85
caracteres,8.21
característica,1481.5
carbón,10.26
carcasa,268.8
card,203.14
cardioide,24.62
cards,22.57
carga,644.31
cargador,73.87
cargar,242.13
cargar él,26.68
caro,129.27
carpeta,24.62
carpiano,8.21
carril,100.54
cartucho,377.56
case,12.31
casero,49.25
caset,34.88
casete,94.39
cassette,12.31
categorización,34.88
categorizar,22.57
catódico,65.66
ccfl,16.42
cdma,28.73
cebit,8.21
cedar,41.04
celda,316
celeron,20.52
cellular,10.26
celular,22.57
centralizado,41.04
centrino,28.73
centronics,24.62
ceramic,12.31
cero,182.62
chasis,59.51
chat,26.68
chatbot,16.42
chatgpt,32.83
checksum,12.31
chemistry,30.78
cheque,18.47
chequear,16.42
chequeo,8.21
chess,26.68
chip,119.01
chips,69.77
chipset,14.36
chipsets,32.83
chorro,26.68
ciar,14.36
ciberataqu,8.21
cibernética,12.31
ciberseguridad,45.14
ciclo,666.88
cifrado,30.78
cifrador,22.57
cifrar,55.4
cinta,18.47
circ,6.16
circuit,22.57
circuitería,45.14
circuito,1013.66
circuits,18.47
cirrus,10.26
cisc,45.14
cisco,14.36
clarkdale,28.73
clasificador,137.48
classic,38.99
clave,781.79
